title_text,date_of_publishing,article_full_url,image_urls
Mine raises $9.5M to help people take control of their personal data,"9:12 pm IST, October 21, 2020",https://techcrunch.com/2020/10/21/mine-series-a/,"https://techcrunch.com/wp-content/uploads/2019/11/GettyImages-1093349178.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2019/11/GettyImages-1093349178.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2019/11/GettyImages-1093349178.jpg?w=430&h=230&crop=1 430w"
"Syte, an e-commerce visual search platform, gets $30 million Series C to expand in the U.S. and Asia","6:30 pm IST, October 21, 2020",https://techcrunch.com/2020/10/21/syte-an-e-commerce-visual-search-platform-gets-30-million-series-c-to-expand-in-the-u-s-and-asia/,"https://techcrunch.com/wp-content/uploads/2020/10/group-syte.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/group-syte.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/group-syte.jpg?w=430&h=230&crop=1 430w"
"MindLabs raises £1.4 million for its new platform, a “Peloton for mental health”","5:30 pm IST, October 21, 2020",https://techcrunch.com/2020/10/21/mindlabs-raises-1-4-million-for-its-new-platform-a-peloton-for-mental-health/,"https://techcrunch.com/wp-content/uploads/2020/10/MindLabs-Live-Video-Instructor.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/MindLabs-Live-Video-Instructor.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/MindLabs-Live-Video-Instructor.jpg?w=430&h=230&crop=1 430w"
Synthetaic raises $3.5M to train AI with synthetic data,"2:24 am IST, October 21, 2020",https://techcrunch.com/2020/10/20/synthetaic-seed-funding/,"https://techcrunch.com/wp-content/uploads/2020/09/GettyImages-1222958278.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/09/GettyImages-1222958278.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/09/GettyImages-1222958278.jpg?w=430&h=230&crop=1 430w"
"Root targets $6B+ valuation in pending IPO, a boon for insurtech startups","11:27 pm IST, October 20, 2020",https://techcrunch.com/2020/10/20/root-targets-6b-valuation-in-pending-ipo-a-boon-for-insurtech-startups/,"https://techcrunch.com/wp-content/uploads/2020/09/GettyImages-1197797863.jpeg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/09/GettyImages-1197797863.jpeg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/09/GettyImages-1197797863.jpeg?w=430&h=230&crop=1 430w"
Robotic kitchen startup YPC raises a $1.8M seed round,"8:40 pm IST, October 20, 2020",https://techcrunch.com/2020/10/20/robotic-kitchen-startup-ypc-raises-a-1-8m-seed-round/,"https://techcrunch.com/wp-content/uploads/2020/10/Screen-Shot-2020-10-20-at-11.05.59-AM.png?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/Screen-Shot-2020-10-20-at-11.05.59-AM.png?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/Screen-Shot-2020-10-20-at-11.05.59-AM.png?w=430&h=230&crop=1 430w"
Sym raises $9M Series A for its security workflow platform,"8:30 pm IST, October 20, 2020",https://techcrunch.com/2020/10/20/sym-raises-9m-series-a-for-its-security-workflow-platform/,"https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1175885065.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1175885065.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1175885065.jpg?w=430&h=230&crop=1 430w"
Index nabs $2.6M seed to create BI dashboards without coding,"7:30 pm IST, October 20, 2020",https://techcrunch.com/2020/10/20/index-nabs-2-6m-seed-to-create-bi-dashboards-without-coding/,"https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1185849291.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1185849291.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1185849291.jpg?w=430&h=230&crop=1 430w"
"Root targets $6B+ valuation in pending IPO, a boon for insurtech startups","11:27 pm IST, October 20, 2020",https://techcrunch.com/2020/10/20/root-targets-6b-valuation-in-pending-ipo-a-boon-for-insurtech-startups/,"https://techcrunch.com/wp-content/uploads/2020/09/GettyImages-1197797863.jpeg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/09/GettyImages-1197797863.jpeg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/09/GettyImages-1197797863.jpeg?w=430&h=230&crop=1 430w"
Robotic kitchen startup YPC raises a $1.8M seed round,"8:40 pm IST, October 20, 2020",https://techcrunch.com/2020/10/20/robotic-kitchen-startup-ypc-raises-a-1-8m-seed-round/,"https://techcrunch.com/wp-content/uploads/2020/10/Screen-Shot-2020-10-20-at-11.05.59-AM.png?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/Screen-Shot-2020-10-20-at-11.05.59-AM.png?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/Screen-Shot-2020-10-20-at-11.05.59-AM.png?w=430&h=230&crop=1 430w"
Sym raises $9M Series A for its security workflow platform,"8:30 pm IST, October 20, 2020",https://techcrunch.com/2020/10/20/sym-raises-9m-series-a-for-its-security-workflow-platform/,"https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1175885065.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1175885065.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1175885065.jpg?w=430&h=230&crop=1 430w"
Index nabs $2.6M seed to create BI dashboards without coding,"7:30 pm IST, October 20, 2020",https://techcrunch.com/2020/10/20/index-nabs-2-6m-seed-to-create-bi-dashboards-without-coding/,"https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1185849291.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1185849291.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1185849291.jpg?w=430&h=230&crop=1 430w"
Robotic kitchen startup YPC raises a $1.8M seed round,"8:40 pm IST, October 20, 2020",https://techcrunch.com/2020/10/20/robotic-kitchen-startup-ypc-raises-a-1-8m-seed-round/,"https://techcrunch.com/wp-content/uploads/2020/10/Screen-Shot-2020-10-20-at-11.05.59-AM.png?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/Screen-Shot-2020-10-20-at-11.05.59-AM.png?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/Screen-Shot-2020-10-20-at-11.05.59-AM.png?w=430&h=230&crop=1 430w"
Sym raises $9M Series A for its security workflow platform,"8:30 pm IST, October 20, 2020",https://techcrunch.com/2020/10/20/sym-raises-9m-series-a-for-its-security-workflow-platform/,"https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1175885065.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1175885065.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1175885065.jpg?w=430&h=230&crop=1 430w"
Index nabs $2.6M seed to create BI dashboards without coding,"7:30 pm IST, October 20, 2020",https://techcrunch.com/2020/10/20/index-nabs-2-6m-seed-to-create-bi-dashboards-without-coding/,"https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1185849291.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1185849291.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1185849291.jpg?w=430&h=230&crop=1 430w"
Jam raises $3.5 million to Figma-tize product collaboration,"6:30 pm IST, October 20, 2020",https://techcrunch.com/2020/10/20/jam-raises-3-5-million-to-figma-tize-product-collaboration/,"https://techcrunch.com/wp-content/uploads/2020/10/Team-Jam-Oct-16-2020.png?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/Team-Jam-Oct-16-2020.png?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/Team-Jam-Oct-16-2020.png?w=430&h=230&crop=1 430w"
